,TILL_NR,ORG.NR/PERS.NR,NAVN,ADRESSE,POSTNR,POSTSTED,TILDELINGSTIDSPUNKT,TIDSBEGRENSET,TILL_KOMNR,TILL_KOM,FORMÅL,PRODUKSJONSFORM,ART,TILL_KAP,TILL_ENHET,LOK_NR,LOK_NAVN,LOK_KOMNR,LOK_KOM,LOK_PLASS,VANNMILJØ,LOK_KAP,LOK_ENHET,N_GEOWGS84,Ø_GEOWGS84,PROD_OMR
154,AAL 0001,951375772.0,HELLESUND FISKEOPPDRETT AS,"LANGHOLMSUND, KJEHOLMEN 1",4770,HØVÅG,09.08.1973,,4215,LILLESAND,KOMMERSIELL,MATFISK,Laks,"804,00",TN,33577,KJEHOLMEN II,4206,FARSUND,SJØ,SALTVANN,"2 340,00",TN,58.060083,6.885683,1.0
157,AAL 0001,951375772.0,HELLESUND FISKEOPPDRETT AS,"LANGHOLMSUND, KJEHOLMEN 1",4770,HØVÅG,09.08.1973,,4215,LILLESAND,KOMMERSIELL,MATFISK,Laks,"804,00",TN,29957,NAKKESTAD,4225,LYNGDAL,SJØ,SALTVANN,"1 560,00",TN,58.055833,7.06875,1.0
160,AAL 0001,951375772.0,HELLESUND FISKEOPPDRETT AS,"LANGHOLMSUND, KJEHOLMEN 1",4770,HØVÅG,09.08.1973,,4215,LILLESAND,KOMMERSIELL,MATFISK,Laks,"804,00",TN,14016,AUENES,4215,LILLESAND,SJØ,SALTVANN,"910,00",TN,58.140267,8.2553,1.0
163,AAL 0001,951375772.0,HELLESUND FISKEOPPDRETT AS,"LANGHOLMSUND, KJEHOLMEN 1",4770,HØVÅG,09.08.1973,,4215,LILLESAND,KOMMERSIELL,MATFISK,Laks,"804,00",TN,12832,RISHOLMEN,4215,LILLESAND,SJØ,SALTVANN,"585,00",TN,58.143983,8.26705,1.0
166,AAL 0004,983970400.0,SØRVEST LAKS AS,"C/O KARL OLAF JØRGENSEN, BIRKELANDSVEIEN 1454",4760,BIRKELAND,01.11.1984,,4215,LILLESAND,KOMMERSIELL,MATFISK,Laks,"804,00",TN,33577,KJEHOLMEN II,4206,FARSUND,SJØ,SALTVANN,"2 340,00",TN,58.060083,6.885683,1.0
169,AAL 0004,983970400.0,SØRVEST LAKS AS,"C/O KARL OLAF JØRGENSEN, BIRKELANDSVEIEN 1454",4760,BIRKELAND,01.11.1984,,4215,LILLESAND,KOMMERSIELL,MATFISK,Laks,"804,00",TN,14016,AUENES,4215,LILLESAND,SJØ,SALTVANN,"910,00",TN,58.140267,8.2553,1.0
172,AAL 0004,983970400.0,SØRVEST LAKS AS,"C/O KARL OLAF JØRGENSEN, BIRKELANDSVEIEN 1454",4760,BIRKELAND,01.11.1984,,4215,LILLESAND,KOMMERSIELL,MATFISK,Laks,"804,00",TN,12832,RISHOLMEN,4215,LILLESAND,SJØ,SALTVANN,"585,00",TN,58.143983,8.26705,1.0
175,AAL 0004,983970400.0,SØRVEST LAKS AS,"C/O KARL OLAF JØRGENSEN, BIRKELANDSVEIEN 1454",4760,BIRKELAND,01.11.1984,,4215,LILLESAND,KOMMERSIELL,MATFISK,Laks,"804,00",TN,29957,NAKKESTAD,4225,LYNGDAL,SJØ,SALTVANN,"1 560,00",TN,58.055833,7.06875,1.0
195,AGF 0003,921707134.0,AGDER FYLKESKOMMUNE,POSTBOKS 788  STOA,4809,ARENDAL,05.10.2021,05.10.2031,4207,FLEKKEFJORD,UNDERVISNING,MATFISK,Laks,"780,00",TN,11861,SKIPNINGSDALEN,4207,FLEKKEFJORD,SJØ,SALTVANN,"6 240,00",TN,58.241483,6.5958,
198,AGF 0003,921707134.0,AGDER FYLKESKOMMUNE,POSTBOKS 788  STOA,4809,ARENDAL,05.10.2021,05.10.2031,4207,FLEKKEFJORD,UNDERVISNING,MATFISK,Laks,"780,00",TN,11857,BUKSEVIKA,4207,FLEKKEFJORD,SJØ,SALTVANN,"4 680,00",TN,58.2074,6.63505,
