LOK_NAVN,LOK_NR,TILL_NR,ORG.NR/PERS.NR,NAVN,ADRESSE,POSTNR,POSTSTED,TILDELINGSTIDSPUNKT,TIDSBEGRENSET,TILL_KOMNR,TILL_KOM,FORMÅL,PRODUKSJONSFORM,ART,TILL_KAP,TILL_ENHET,LOK_KOMNR,LOK_KOM,LOK_PLASS,VANNMILJØ,LOK_KAP,LOK_ENHET,N_GEOWGS84,Ø_GEOWGS84,PROD_OMR
AGA Ø,15196,H AV0018,947607855.0,KOBBEVIK OG FURUHOLMEN OPPDRETT AS,ALFABYGGET,5392,STOREBØ,04.09.1979,,4625,AUSTEVOLL,KOMMERSIELL,MATFISK,Laks,780.00,TN,4613,BØMLO,SJØ,SALTVANN,2340.00,TN,59.845917,5.26075,3.0
AGA Ø,15196,H AV0022,947607855.0,KOBBEVIK OG FURUHOLMEN OPPDRETT AS,ALFABYGGET,5392,STOREBØ,23.04.1980,,4625,AUSTEVOLL,KOMMERSIELL,MATFISK,Laks,780.00,TN,4613,BØMLO,SJØ,SALTVANN,2340.00,TN,59.845917,5.26075,3.0
AGA Ø,15196,H B 0002,836597702.0,BREMNES SEASHORE AS,ØKLANDSVEGEN 90,5430,BREMNES,01.01.1964,,4613,BØMLO,KOMMERSIELL,MATFISK,Laks,780.00,TN,4613,BØMLO,SJØ,SALTVANN,2340.00,TN,59.845917,5.26075,3.0
AGA Ø,15196,H B 0007,997411781.0,FREMSKRIDT LAKS AS,ALVSVÅGVEGEN 52,5430,BREMNES,13.08.1973,,4613,BØMLO,KOMMERSIELL,MATFISK,Laks,780.00,TN,4613,BØMLO,SJØ,SALTVANN,2340.00,TN,59.845917,5.26075,3.0
AGA Ø,15196,H B 0012,836597702.0,BREMNES SEASHORE AS,ØKLANDSVEGEN 90,5430,BREMNES,16.05.1986,,4613,BØMLO,KOMMERSIELL,MATFISK,Laks,780.00,TN,4613,BØMLO,SJØ,SALTVANN,2340.00,TN,59.845917,5.26075,3.0
AGA Ø,15196,H B 0044,997411781.0,FREMSKRIDT LAKS AS,ALVSVÅGVEGEN 52,5430,BREMNES,12.02.2004,,4613,BØMLO,KOMMERSIELL,MATFISK,Laks,780.00,TN,4613,BØMLO,SJØ,SALTVANN,2340.00,TN,59.845917,5.26075,3.0
AGA Ø,15196,H FJ0014,947607855.0,KOBBEVIK OG FURUHOLMEN OPPDRETT AS,ALFABYGGET,5392,STOREBØ,05.01.1992,,4615,FITJAR,KOMMERSIELL,MATFISK,Laks,780.00,TN,4613,BØMLO,SJØ,SALTVANN,2340.00,TN,59.845917,5.26075,3.0
AGA Ø,15196,H FJ0020,947607855.0,KOBBEVIK OG FURUHOLMEN OPPDRETT AS,ALFABYGGET,5392,STOREBØ,23.01.1995,,4615,FITJAR,KOMMERSIELL,MATFISK,Laks,780.00,TN,4613,BØMLO,SJØ,SALTVANN,2340.00,TN,59.845917,5.26075,3.0
ALDALEN,12067,H FS0001,930391328.0,AS BOLAKS,FUSAVEGEN 281,5640,EIKELANDSOSEN,12.08.1973,,4624,BJØRNAFJORDEN,KOMMERSIELL,MATFISK,Laks,780.00,TN,4624,BJØRNAFJORDEN,SJØ,SALTVANN,1560.00,TN,60.24995,5.571917,3.0
ALDALEN,12067,H FS0006,930391328.0,AS BOLAKS,FUSAVEGEN 281,5640,EIKELANDSOSEN,20.08.1973,,4624,BJØRNAFJORDEN,KOMMERSIELL,MATFISK,Laks,803.00,TN,4624,BJØRNAFJORDEN,SJØ,SALTVANN,1560.00,TN,60.24995,5.571917,3.0
ALDALEN,12067,H FS0010,930391328.0,AS BOLAKS,FUSAVEGEN 281,5640,EIKELANDSOSEN,16.06.1973,,4624,BJØRNAFJORDEN,KOMMERSIELL,MATFISK,Laks,802.00,TN,4624,BJØRNAFJORDEN,SJØ,SALTVANN,1560.00,TN,60.24995,5.571917,3.0
ALDALEN,12067,H FS0014,930391328.0,AS BOLAKS,FUSAVEGEN 281,5640,EIKELANDSOSEN,27.02.1976,,4624,BJØRNAFJORDEN,KOMMERSIELL,MATFISK,Laks,796.00,TN,4624,BJØRNAFJORDEN,SJØ,SALTVANN,1560.00,TN,60.24995,5.571917,3.0
ALDALEN,12067,H FS0017,930391328.0,AS BOLAKS,FUSAVEGEN 281,5640,EIKELANDSOSEN,25.04.1983,,4624,BJØRNAFJORDEN,KOMMERSIELL,MATFISK,Laks,802.00,TN,4624,BJØRNAFJORDEN,SJØ,SALTVANN,1560.00,TN,60.24995,5.571917,3.0
ALDALEN,12067,H FS0026,930391328.0,AS BOLAKS,FUSAVEGEN 281,5640,EIKELANDSOSEN,03.07.1989,22.12.2024,4624,BJØRNAFJORDEN,KOMMERSIELL,STAMFISK,Laks,780.00,TN,4624,BJØRNAFJORDEN,SJØ,SALTVANN,1560.00,TN,60.24995,5.571917,
ALDALEN,12067,H FS0037,930391328.0,AS BOLAKS,FUSAVEGEN 281,5640,EIKELANDSOSEN,13.02.2004,,4624,BJØRNAFJORDEN,KOMMERSIELL,MATFISK,Laks,788.00,TN,4624,BJØRNAFJORDEN,SJØ,SALTVANN,1560.00,TN,60.24995,5.571917,3.0
ALDALEN,12067,H FS0040,930391328.0,AS BOLAKS,FUSAVEGEN 281,5640,EIKELANDSOSEN,21.06.2011,21.06.2026,4624,BJØRNAFJORDEN,KOMMERSIELL,STAMFISK,Laks,780.00,TN,4624,BJØRNAFJORDEN,SJØ,SALTVANN,1560.00,TN,60.24995,5.571917,
ALDALEN,12067,H O 0012,930391328.0,AS BOLAKS,FUSAVEGEN 281,5640,EIKELANDSOSEN,20.02.2004,,4624,BJØRNAFJORDEN,KOMMERSIELL,MATFISK,Laks,780.00,TN,4624,BJØRNAFJORDEN,SJØ,SALTVANN,1560.00,TN,60.24995,5.571917,3.0
ALDALEN,12067,H O 0013,930391328.0,AS BOLAKS,FUSAVEGEN 281,5640,EIKELANDSOSEN,20.02.2004,,4624,BJØRNAFJORDEN,KOMMERSIELL,MATFISK,Laks,780.00,TN,4624,BJØRNAFJORDEN,SJØ,SALTVANN,1560.00,TN,60.24995,5.571917,3.0
