navn,loknr,X,Y,objectid,prodorgnavn,loktilstand,mu_dato,mu_type,rapportid,status_lokalitet,plassering,vannmiljo,fylke,kommune,lat_lokalitet,lon_lokalitet,url,globalid
AARSET,30096,7.57753300000002,62.700217,8540603,ALSCO AS,1,"[2007, 38]",b,AM99935497,TRUKKET,SJØ,SALTVANN,MØRE OG ROMSDAL,MOLDE,62.700217,7.577533,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AM99935497/attachments/1237,{843B7AE5-B9EE-4604-890F-9B9DC044F79F}
AGA Ø,15196,5.26074999999997,59.845917,8540317,EYSTEIN B HANSEN,1,"[2011, 19]",b,AM93864318,KLARERT,SJØ,SALTVANN,VESTLAND,BØMLO,59.845917,5.26075,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AM93864318/attachments/831,{D4B14DE7-B6BC-492B-A1B8-79A257480ED5}
AGA Ø,15196,5.26074999999997,59.845917,8541358,RESIPIENTANALYSE AS,1,"[2013, 11]",b,AR41200593,KLARERT,SJØ,SALTVANN,VESTLAND,BØMLO,59.845917,5.26075,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AR41200593/attachments/126,{460B8EAA-FD37-472A-AEF9-9AA8AE3D7101}
AGA Ø,15196,5.26074999999997,59.845917,8543173,RESIPIENTANALYSE AS,1,"[2015, 12]",b,AR101355305,KLARERT,SJØ,SALTVANN,VESTLAND,BØMLO,59.845917,5.26075,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AR101355305/attachments/14833,{E9FB835C-24B4-43EF-9989-112614D62F46}
AGA Ø,15196,5.26074999999997,59.845917,8544880,RESIPIENTANALYSE AS,1,"[2017, 3]",b,AR184284732,KLARERT,SJØ,SALTVANN,VESTLAND,BØMLO,59.845917,5.26075,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AR184284732/attachments/24937,{A24AC525-8B39-4784-8DBC-49D1A9FF9648}
AGA Ø,15196,5.26074999999997,59.845917,8545271,Rådgivende Biologer AS,1,"[2006, 12]",b,AR216983100,KLARERT,SJØ,SALTVANN,VESTLAND,BØMLO,59.845917,5.26075,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AR216983100/attachments/28809,{85D5B8C1-9E4A-4292-AD71-F411F55A5D79}
AGA Ø,15196,5.26074999999997,59.845917,8546440,RESIPIENTANALYSE AS,2,"[2018, 43]",b,AR288852209,KLARERT,SJØ,SALTVANN,VESTLAND,BØMLO,59.845917,5.26075,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AR288852209/attachments/39780,{DB0FA1C3-3F02-40CB-B183-C40DCEF352F7}
AGA Ø,15196,5.26074999999997,59.845917,8547190,Rådgivende Biologer AS,1,"[2019, 24]",b,AR334922277,KLARERT,SJØ,SALTVANN,VESTLAND,BØMLO,59.845917,5.26075,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AR334922277/attachments/47651,{372A1D6E-4D51-465F-81DB-F057032AB0A6}
ALDALEN,12067,5.57191699999998,60.24995,8539519,RÅDGIVENDE BIOLOGER AS,2,"[2009, 5]",b,AM63731243,KLARERT,SJØ,SALTVANN,VESTLAND,BJØRNAFJORDEN,60.24995,5.571917,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AM63731243/attachments/173,{B4462471-0776-4C33-AC5C-2F3F88CA90BA}
ALDALEN,12067,5.57191699999998,60.24995,8539687,RÅDGIVENDE BIOLOGER AS,1,"[2010, 8]",b,AM70421063,KLARERT,SJØ,SALTVANN,VESTLAND,BJØRNAFJORDEN,60.24995,5.571917,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AM70421063/attachments/198,{9F9ED465-3E05-4924-8E2C-48E454D3AD1E}
ALDALEN,12067,5.57191699999998,60.24995,8540409,RÅDGIVENDE BIOLOGER AS,1,"[2011, 5]",b,AM93371262,KLARERT,SJØ,SALTVANN,VESTLAND,BJØRNAFJORDEN,60.24995,5.571917,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AM93371262/attachments/723,{B4B7EEBA-0DCC-4947-B8DB-A9AF28A1C1B3}
ALDALEN,12067,5.57191699999998,60.24995,8541331,Rådgivende Biologer AS,1,"[2013, 5]",b,AR36300631,KLARERT,SJØ,SALTVANN,VESTLAND,BJØRNAFJORDEN,60.24995,5.571917,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AR36300631/attachments/93,{A092D29B-3986-46CA-9A35-B2AC2D86F76C}
ALDALEN,12067,5.57191699999998,60.24995,8543069,Rådgivende Biologer AS,1,"[2015, 5]",b,AR91363087,KLARERT,SJØ,SALTVANN,VESTLAND,BJØRNAFJORDEN,60.24995,5.571917,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AR91363087/attachments/14276,{EAD74BE7-DAD6-45E0-94CB-049439E5377D}
ALDALEN,12067,5.57191699999998,60.24995,8545023,Rådgivende Biologer AS,1,"[2017, 10]",b,AR196575584,KLARERT,SJØ,SALTVANN,VESTLAND,BJØRNAFJORDEN,60.24995,5.571917,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AR196575584/attachments/25838,{9BC24FB9-5D38-4CA5-94FF-81DFB50EE0E7}
ALDALEN,12067,5.57191699999998,60.24995,8545819,FOMAS FISKEHELSE OG MILJØ AS,1,"[2018, 6]",b,AR249024746,KLARERT,SJØ,SALTVANN,VESTLAND,BJØRNAFJORDEN,60.24995,5.571917,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AR249024746/attachments/32546,{C567D393-7EFF-4A50-89E8-6D0FCE46B2C1}
ALDEØYNA,12982,4.76778300000001,61.31055,8540322,SUB AQUA TECH AS,1,"[2010, 38]",b,AM93866821,KLARERT,SJØ,SALTVANN,VESTLAND,ASKVOLL,61.31055,4.767783,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AM93866821/attachments/809,{4583BD32-D8E5-490C-83E1-546F115C3E48}
ALDEØYNA,12982,4.76778300000001,61.31055,8541091,SUB AQUA TECH AS,2,"[2012, 42]",b,AM104125270,KLARERT,SJØ,SALTVANN,VESTLAND,ASKVOLL,61.31055,4.767783,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AM104125270/attachments/1575,{CA8171BE-F9DF-42BC-946C-943142F40045}
ALDEØYNA,12982,4.76778300000001,61.31055,8542357,SUB AQUA TECH AS,1,"[2014, 10]",b,AR67329276,KLARERT,SJØ,SALTVANN,VESTLAND,ASKVOLL,61.31055,4.767783,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AR67329276/attachments/5405,{A9BA0FC2-6F0C-4700-BD96-38BA4025DF37}
ALDEØYNA,12982,4.76778300000001,61.31055,8543995,RESIPIENTANALYSE AS,2,"[2008, 25]",b,AR143190135,KLARERT,SJØ,SALTVANN,VESTLAND,ASKVOLL,61.31055,4.767783,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AR143190135/attachments/19305,{8C3DE863-1C17-4D86-A19D-A886CBE085E6}
ALDEØYNA,12982,4.76778300000001,61.31055,8544612,SUB AQUA TECH AS,1,"[2016, 44]",b,AR168457324,KLARERT,SJØ,SALTVANN,VESTLAND,ASKVOLL,61.31055,4.767783,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AR168457324/attachments/23258,{62D36BAE-ABD7-438F-8A3A-7FCCCFEFFBAD}
ALDEØYNA,12982,4.76778300000001,61.31055,8545891,SUB AQUA TECH AS,1,"[2018, 13]",b,AR255521368,KLARERT,SJØ,SALTVANN,VESTLAND,ASKVOLL,61.31055,4.767783,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AR255521368/attachments/33047,{F03FE770-8770-4ADD-B430-D3443724CDAD}
ALDEØYNA,12982,4.76778300000001,61.31055,8547528,SUB AQUA TECH AS,3,"[2020, 2]",b,AR356293741,KLARERT,SJØ,SALTVANN,VESTLAND,ASKVOLL,61.31055,4.767783,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AR356293741/attachments/50980,{3746D3F9-E692-4663-8441-3A98DADE5230}
ALDEØYNA,12982,4.76778300000001,61.31055,8548312,SUB AQUA TECH AS,2,"[2020, 43]",b,AR398442627,KLARERT,SJØ,SALTVANN,VESTLAND,ASKVOLL,61.31055,4.767783,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AR398442627/attachments/58294,{A05693F5-40A8-4E64-B5E9-25C3ACED4DBF}
ALLERSHOLMEN,11756,4.85353300000003,60.774867,8539529,RÅDGIVENDE BIOLOGER AS,1,"[2007, 31]",b,AM64037037,KLARERT,SJØ,SALTVANN,VESTLAND,AUSTRHEIM,60.774867,4.853533,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AM64037037/attachments/181,{1D21AF5D-BEBE-4F39-9E64-53511586374A}
ALLERSHOLMEN,11756,4.85353300000003,60.774867,8540021,RESIPIENTANALYSE Haveland,1,"[2008, 34]",b,AM88504431,KLARERT,SJØ,SALTVANN,VESTLAND,AUSTRHEIM,60.774867,4.853533,,{B027820D-AD3F-46CB-86BF-3097C82DD095}
ALLERSHOLMEN,11756,4.85353300000003,60.774867,8540023,RESIPIENTANALYSE Haveland,2,"[2010, 46]",b,AM88504882,KLARERT,SJØ,SALTVANN,VESTLAND,AUSTRHEIM,60.774867,4.853533,,{59ED1F7D-A7E7-4015-A25D-3669DDCF1CCC}
ALLERSHOLMEN,11756,4.85353300000003,60.774867,8541097,RESIPIENTANALYSE AS,2,"[2012, 33]",b,AM104127125,KLARERT,SJØ,SALTVANN,VESTLAND,AUSTRHEIM,60.774867,4.853533,,{46E10E9C-1BE0-4ACC-956E-A7296CF706CC}
ALLERSHOLMEN,11756,4.85353300000003,60.774867,8542108,RESIPIENTANALYSE AS,3,"[2013, 44]",b,AR56014435,KLARERT,SJØ,SALTVANN,VESTLAND,AUSTRHEIM,60.774867,4.853533,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AR56014435/attachments/4293,{B60766A4-5E97-4311-A06A-E5CB2BB44148}
ALLERSHOLMEN,11756,4.85353300000003,60.774867,8542651,RESIPIENTANALYSE AS,2,"[2014, 28]",b,AR76902836,KLARERT,SJØ,SALTVANN,VESTLAND,AUSTRHEIM,60.774867,4.853533,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AR76902836/attachments/11270,{948224CC-6B61-4231-BF39-B38DEB7306B5}
ALLERSHOLMEN,11756,4.85353300000003,60.774867,8543533,RESIPIENTANALYSE AS,3,"[2015, 35]",b,AR117328619,KLARERT,SJØ,SALTVANN,VESTLAND,AUSTRHEIM,60.774867,4.853533,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AR117328619/attachments/17131,{24027FD8-1BFB-4477-8533-21C6BA90CFF0}
ALLERSHOLMEN,11756,4.85353300000003,60.774867,8544042,RESIPIENTANALYSE AS,3,"[2016, 10]",b,AR144130417,KLARERT,SJØ,SALTVANN,VESTLAND,AUSTRHEIM,60.774867,4.853533,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AR144130417/attachments/19429,{0F345B06-5494-4969-BB1A-12AD7ACD5DF0}
ALLERSHOLMEN,11756,4.85353300000003,60.774867,8545965,RESIPIENTANALYSE AS,2,"[2018, 15]",b,AR259387978,KLARERT,SJØ,SALTVANN,VESTLAND,AUSTRHEIM,60.774867,4.853533,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AR259387978/attachments/33584,{426DA693-F0FF-4E49-A165-B194DB4850E2}
ALLERSHOLMEN,11756,4.85353300000003,60.774867,8546195,RESIPIENTANALYSE AS,2,"[2018, 30]",b,AR275981127,KLARERT,SJØ,SALTVANN,VESTLAND,AUSTRHEIM,60.774867,4.853533,https://api.fiskeridir.no/aqua-env-reports-ws/api/v1/env-reports/AR275981127/attachments/36896,{F225C6E7-395E-482C-AE2D-5836179AA97A}
